publication_view.author;publication_view.publication_title;publication_view.publication_year
Boettger, C.R.;Die Molluskenfauna des Interglazials von Lehringen bei Verden in Niedersachsen;2004;
Boev, Z.;Late Pleistocene birds from the Kozarnika cave;2001;
Boev, Z.;The Upper Pleistocene Birds;1992;
Boger, U., Starkovich, B.M., Conard, N.J.;New insights gained from the faunal material recovered during the latest excavations at Vogelherd Cave;2014;
Bohmers, A.;Die Höhlen von Mauern I;1951;
Boike, J., Bolshiyanov, D.Y., Schirrmeister, L., Wetterich, S.;Russian-German Cooperation SYSTEM LAPTEV SEA: The Expedition Lena - New Siberian Islands 2007 during the International Polar Year 2007/2008;2008;
Boismier, W.A., Gamble, C., Coward, F.;Neanderthals Among Mammoths: Excavations at Lynford Quarry, Norfolk;2012;
Boivin, P., Barbet, P., Boeuf, O., Devouard, B., Besson, J.-C., Hénot, J.-M., Devidal, J.-L., Constantin, C., Charles, L.;Geological setting of the lower Pleistocene fossil deposits of Chilhac (Haute-Loire, France);2010;
Bolduc, P., Cinq-Mars, J., Mussi, M.;Les figurines des Balzi Rossi (Italie): une collection perdue et retrouvée;1996;
Bolikhovskaya, N.S., Derevianko, A.P., Shunkov, M.V.;The fossil palynoflora, geological age, and climatostratigraphy of the earliest deposits of the Karama site (Early Paleolithic, Altai Mountains);2006;
Bolikhovskaya, N.S., Shunkov, M.V.;Pleistocene Environments of Northwestern Altai: Vegetation and Climate;2014;
Bolland, A., Kern, O.A., Allstädt, F.J., Peteet, D., Koutsodendris, A., Pross, J., Heiri, O.;Summer temperatures during the last glaciation (MIS 5c to MIS 3) inferred from a 50,000-year chironomid record from Füramoos, southern Germany;2021;
Bolus, M., Conard Nicholas J., Floss, H., Haidle, M., Kölbel, S., Langguth, K., Malina, M.;Eiszeitschmuck - Status und Schönheit: [Katalog zur Sonderausstellung "Eiszeitkunst - Status und Schönheit"];2003;
Bolus, M., Conard, N.;100 Jahre Robert Rudolf Schmidts Die diluviale Vorzeit Deutschlands;2012;
Bon, F.;L'Aurignacien entre Mer et Ocean. Reflexion sur l'unite des phases anciennes de l'Aurignacien dans le sud de la France;2002;
Bon, F.;L'industrie lithique aurignacienne de la couche 2a de la Grotte des Hyenes a Brassempouy (Landes);1996;
Bon, F., Mensan, R.;Le site de plein air de Régismont-le-Haut: une halte aurignacienne dans les plaines du Languedoc;2007;
Bon, F., Simonnet, R., Vézian, J.;L'équipement lithique des Aurignaciens à La Tuto de Camalhot (Saint-Jean-de-Verges, Ariège). Sa rélation avec la mobilité des groupes et la répartition de leurs activités dans un territoire;2005;
Bonani, G.;Accelerator Mass Spectrometry (AMS) radiocarbon dating of Middle and Upper Palaeolithic samples from the Neander Valley, Germany;2006;
Bonch-Osmolovskii, G.A.;Paleolit Kryma [The Palaeolithic of Crimea];1940;
Bonch-Osmolovskii, G.A.;Shaitan-Koba, krymskaya stoyanka tipa Abri-Odi [Shaitan-Koba, Abri-Odi type Crimean site];1930;
Bond, G., Summers, R.;A Late Stillbay Hunting-Camp Site on the Nata River, Bechuanaland Protectorate;1954;
Bonfiglio, L., Insacco, G.;Palaeoenvironmental, paleontologic and stratigraphic significance of vertebrate remains in Pleistocene limnic and alluvial deposits from southeastern Sicily;1992;
Bonfiglio, L., Mangano, G., Marra, A.C., Masini, F.;Pleistocene Calabrian and Sicialian bioprovinces;2002;
Bonifay, E.;La grotte du Regourdou (Montignac, Dordogne). Stratigraphie et industrie lithique moustérienne;1964;
Bonifay, E.;Stratigraphie et industries lithiques de la grotte nº 1 du Mas des Caves à Lunel-Viel (Hérault);1968;
Bonilauri, S.;Les outils du Paléolithique moyen, une mémoire technique oubliée? Approche techno-fonctionnelle appliquées a un assemblage lithique de conception Levallois provenant du site d'Umm el Tlel (Syrie centrale);2010;
Bonilauri, S., Boeda, E., Griggo, C., Sakhel, H., Muhesen, S.;Un éclat de silex moustérien coincé dans un bassin d'autruche (Struthio camelus) a Umm el Tlel (Syrie centrale);2007;
Bonjean, D., Abrams, G., di Modica, K., Otte, M.;La microstratigraphie, une clé de lecture des remaniements sédimentaires successifs. Le cas de l'industrie moustérienne 1a de Scladina;2009;
Bonjean, D., Abrams, G., di Modica, K., Pirson, S.;Andenne/Sclayn: La grotte Scladina, nouvelles datations au radiocarbone;2013;
Bonjean, D., Di Modica, K., Abrams, G., Pirson, S., Otte, M.;La grotte Scladina: bilan 1971-2011;2011;
Bonjean, D., Vanbrabant, Y., Abrams, G., Pirson, S., Burlet, C., di Modica, K., Otte, M., Vander Auwera, J., Golitko, M., McMillan, R., Goemare, E.;A new Cambrian black pigment used during the late Middle Palaeolithic discovered at Scladina Cave (Andenne, Belgium);2015;
Bonjean, D., di Modica, K.;Scladina (Sclayn, Province de Namur): Ensembles lithiques moustériens méconnus;2004;
Bonnefille, R., Potts, R., Chalié, F., Jolly, D., Peyron, O.;High-resolution vegetation and climate change associated with Pliocene Australopithecus afarensis;2004;
Bordes, F.;A Tale of Two Caves;1972;
Bordes, F.;Le Moustérien de Haute-Roche, comparaisons statistiques;1957;
Bordes, F.;Livret-Guide de l'Excursion A5. Landes-Périgord. VIIIe Congrès d'INQUA;1969;
Bordes, F.;Nouvelles fouilles à Laugerie-Haute Est. Premiers résultats;1958;
Bordes, F.;Observations typologiques sur le Périgordien supérieur de Corbiac (Dordogne);1970;
Bordes, F.;The Harvey Lecture Series. Typological Variability in the Mousterian Layers at Pech del Aze I, II, and IV;1978;
Bordes, F., Bougon, M.;Le gisement du Pech de l'Aze-Nord - Campagne 1950-1951. Les couches inferieurs a Rhinoceros Mercki;1951;
Bordes, F., Bourgon, M.;Les Gisements du Pech-de-l Aze (Dordogne). I. Le Mousterien de tradition acheuleenne;1954;
Bordes, F., Fitte, P., Blanc, S.;L'abri Armand Chadourne;1935;
Bordes, F., Labrot, J.;La stratigraphie du gisement de Roc de Combe (Lot) et ses implications;1967;
Bordes, F., Prat, F.;Observations sur les faunes du Riss et du Wurm I en Dordogne;1965;
Bordes, J.-G.;Les interstratifications Chatelperronien/Aurignacien du Roc-de-Combe et du Piage (Lot, France): analyse taphonomique des industries lithiques, implications archeologiques;2002;
Bordes, J.-G.;Lithic taphonomy of the Chatelperronian/Aurignacian interstratifications in Roc de Combe and Le Piage (Lot, France);2003;
Bordes, J.-G., Shidrang, S.;La Séquence Baradostienne de Yafteh (Khorramabad, Lorestan, Iran);2009;
Borgia, V., Boschin, F., Ronchitelli, A.;Bone and antler working at Grotta Paglicci (Rignano Garganico, Foggia, southern Italy);2016;
Borgognini Tarli, S.M., Fornaciari, G., Palma di Cesnola, A.;Restes humains des niveaux Gravettiens de la Grotte Paglicci (Rignano Garganico): contexte archéologique, étude anthropologique et notes de paléopathologie;1980;
Borgognini-Tarli, S.M.;A neanderthal lower molar from Fondo Cattíe (Maglie, Lecce);1983;
Boric, D., Dimitrijevic, V., White, D., Lane, C., French, C.A.I., Cristiani, E.;Early Modern Human settling of the Danube corridor: the Middle to Upper Palaeolithic site of Tabula Traiana Cave in the Danube Gorges (Serbia);2012;
Borisova, O.;Vegetation and climate changes at the Eemian/Weichselian transition: New palynological data from central Russian Plain;2005;
Borzatti Von Loewenstern, E.;La grotta-riparo di Uluzzo C;1965;
Borzatti Von Loewenstern, E.;Prima campagna di scavi nella Grotta Mario Bernardini (Nardo, Lecce);1970;
Borzatti Von Loewenstern, E.;Seconda campagna di scavi nella Grotta Mario Bernardini (Nardo, Lecce);1971;
Borzatti von Löwenstern, E.;Dente umano proveniente dal deposito musteriano di Grotta Torre dell'Alto (Nardo, Lecce);1969;
Borzatti von Löwenstern, E.;Un saggio nella Grotta di Capelvenere a S. Caterina (Nardo);1961;
Borzatti von Löwenstern, E., Magaldi, D.;Ultime ricerche nella Grotta dell'Alto (S. Caterina, Lecce);1967;
Borzatti von Löwerstern, E.;Alcuni aspetti del Musteriano del Salento;1966;
Borziac, I.A., Allsworth-Jones, P., French, C., Medyanik, S.I., Rink, W.J., Lee, H.K.;The Upper Palaeolithic Site of Ciuntu on the Middle Pruth, Moldova: a multidisciplinary study and reinterpretation;1997;
Borziac, L.A., Chetraru, N.A.;Pozdnepaleoliticheskaya stoyanka v grote Ciuntu;1978;
Boscato, P.;Faunes gravettiennes à grands mammifères de l’Italie du Sud: Grotta della Cala (Salerno) et Grotta Paglicci (Foggia);2007;
Boscato, P., Boschian, G., Caramia, F., Gamassini, P.;Il Riparo del Poggio a Marina di Camerota (Salerno): culture ed ambiente;2009;
Boscato, P., Crezzini, J.;Middle-Upper Palaeolithic transition in Southern Italy: Uluzzian macromammals from Grotta del Cavallo (Apulia);2012;
Boscato, P., Crezzini, J., Pellegrini, A.;Le parti mancanti: faune del Paleolitico Medio nel deposito esterno della Grotta di Santa Croce, Bisceglie (BA);2006;
Boscato, P., Gambassini, P., Ranaldo, F., Ronchitelli, A.;Management of Paleoenvironmental Resources and Exploitation of Raw Materials at the Middle Paleolithic Site of Oscurusciuto (Ginosa, Southern Italy): Units 1 and 4;2011;
Boscato, P., Gambassini, P., Ronchitelli, A.;Abri “L’Oscurusciuto” à Ginosa (Taranto - Italie du Sud): un nouveau site moustérien;2004;
Boscato, P., Gambassini, P., Ronchitelli, A.;Grotta di Santa Croce di Bisceglie (Prov. di Bari);2006;
Boscato, P., Ronchitelli, A.;Paléosurfaces du Paléolithique moyen: l'exemple de Scario (Salerno - Italie du Sud);2004;
Boscato, P., Ronchitelli, A., Wierer, U.;Il Gravettiano antico della grotta della Cala a Marina di Camerota, paletnologia e ambiente;1997;
Bosch, M.;Molluscs in the Levantine Upper Palaeolithic: implications for modern human diets and subsistence behaviour;2018;
Bosch, M.D., Nigst, P.R., Fladerer, F.A., Antl-Weiser, W.;Humans, bones and fire: Zooarchaeological, taphonomic, and spatial analyses of a Gravettian mammoth bone accumulation at Grub-Kranawetberg (Austria);2012;
Boschian, G., Gerometta, K., Ellwood, B.B., Karavanić, I.;Late Neandertals in Dalmatia: Site formation processes, chronology, climate change and human activity at Mujina Pećina, Croatia;2017;
Boschian, G., Saccà, D.;Ambiguities in human and elephant interactions? Stories of bones, sand and water from Castel di Guido (Italy);2010;
Boschian, G., Saccà, D.;In the elephant, everything is good: Carcass use and re-use at Castel di Guido (Italy);2015;
Boschin, F., Rocca, R., Aureli, D.;New archaeozoological and taphonomic analysis on macro-and megafauna remains from the lower palaeolithic site of ficoncella (tarquinia, central italy);2018;
Bosinski, G.;Die mittelpaläolithischen Funde im westlichen Mitteleuropa;1967;
Bosinski, G.;Urgeschichte am Rhein;2008;
Bosinski, G., Bosinski, H., Brunnacker, K., Cziesla, E., Lanser, K.P., Neuffer, F.O., Preuss, J., Spoerer, H., Tillmanns, W., Urban, B.;Sprendlingen. Ein Fundplatz des mittleren Jungpaläolithikums in Rheinhessen;1985;
Bosinski, G., Brunnacker, K.;Eine neue mittelpaläolithische Fundschicht in Rheindahlen;1973;
Bosinski, G., Kulick, J.;Der mittelpaläolithische Fundplatz Buhlen, Kr. Waldeck. Vorbericht über die Grabungen 1966-1969;1973;
Bouchud, J.;Etude des rongeurs et des oiseaux de l'abri Castanet;1952;
Bouchud, J.;L'abri du Facteur à Tursac (Dordogne). II. La faune et sa signification climatique;1968;
Bouchud, J.;Les oiseaux d'Isturitz;1955;
Bourg, H.;Economie de production au Paleolithique moyen proche-oriental: la couche VI 3 a d'Umm el Tlel (Syrie centrale);2007;
Bourguignon, L.;Le Campement Moustérien de la Folie (Vienne);2010;
Bourguignon, L.;Les industries du Paléolithique intermédiaire d'Umm el Tlel. Nouveaux éléments pour le passage entre Paléolithique moyen et supérieur dans le Bassin d'El Khowm;1998;
Bourguignon, L.;Un Moustérien tardif sur le site d'Umm el Tlel (Bassin d'El Khowm, Syrie)? Exemples des niveaux II Base et III2A;1996;
Bourguignon, L., Barsky, D., Ivorra, J., de Weyer, L., Cuartero, F., Capdevila, R., Cavallina, C., Oms, O., Bruxelles, L., Crochet, J.-Y., Garaizar, J.R.;The stone tools from stratigraphical unit 4 of the Bois-de-Riquet site (Lézignan-la-Cèbe, Hérault, France): A new milestone in the diversity of the European Acheulian;2016;
Bourguignon, L., Crochet, J.-Y., Capdevila, R., Ivorra, J., Antoine, P.-O., Agustí, J., Barsky, D., Blain, H.-A., Boulbes, N., Bruxelles, L., Claude, J., Cochard, D., Filoux, A., Firmat, C., Lozano-Fernández, I., Magniez, P., Pelletier, M., Rios-Garaizar, J., Testu, A., Valensi, P., De Weyer, L.;Bois-de-Riquet (Lézignan-la-Cèbe, Hérault): A late Early Pleistocene archeological occurrence in southern France;2016;
Bourguignon, L., Meignen, L.;Ioton (Gard) 30 ans après: nouvelles considérations technologiques et techno-économiques sur l’industrie moustérienne;2010;
Bourguignon, L., Sellami, F., Deloze, V., Sellier-Segard, N., Beyries, S., Emery-Barbier, A.;L’habitat moustérien de La Folie (Poitiers, Vienne): synthèse des premiers résultats;2002;
Bourguignon, L., Turq, A.;Une chaine opératoire de débitage discoide sur éclat du Moustérien a denticulés aquitain: Les exemples de Champ Bossuet et de Combe-Grenal c. 14;2003;
Bourguignon, L., Vieillevigne, E., Guibert, P., Bechtel, F., Beyries, S., Emery-Barbier, A., Deloze, V., Lahaye, C., Sellami, Sellier-Segard, N.;Compléments d’informations chronologiques sur le campement moustérien de tradition acheuléenne du gisement de La Folie (Poitiers, Vienne);2006;
Bourrillon, R., White, R., Tartar, E., Chiotti, L., Mensan, R., Clark, A., Castel, J.C., Cretin, C., Higham, T., Morala, A., Ranlett, S., Sisk, M., Deviese, T., Comeskey, D.J.;A new Aurignacian engraving from Abri Blanchard, France: Implications for understanding Aurignacian graphic expression in Western and Central Europe;2018;
Bousman, C.B.;Revealing Transitions Toward Modern Human Behavior;2006;
Bouteaux, A.;Paléontologie, paléoécologie et taphonomie des mammifères du Pléistocène moyen ancien du site à hominidés de Sangiran (Java central, Indonésie);2005;
Bouteaux, A., Julien, M.-A., Patou-Mathis, M., Moncel, M.-H., Chacon, M.G.;L'ensemble ou l'unite archeostratigraphique D (Payre);2008;
Bouteaux, A., Moigne, A.-M.;New taphonomical approaches: The Javanese Pleistocene open-air sites (Sangiran, central Java);2010;
Boutié, P., Ajaja, O., Banes, L., Moles, V., Kabiri, L., Grégoire, S.;Port-la-Nouvelle - Le gisement moustérien des Ramandils;2004;
Bouyssonie, A., Bouyssonie, J., Bardon, L.;Découverte d’un squelette humain moustérien à la Bouffia de la Chapelle-aux-Saints (Corrèze);1908;
Bouzouggar, A.;Matières premières, processus de fabrication et de gestion des support d'outils dans la séquence atérienne de la grotte des Contrebandiers a Temara;1997;
Bouzouggar, A., Barton, N., Vanhaeren, M., d'Errico, F., Collcutt, S., Higham, T., Hodge, E., Parfitt, S., Rhodes, E.J., Schwenninger, J.-L., Stringer, C., Turner, E., Ward, S., Moutmir, A., Stambouli, A.;82,000-year-old shell beads from North Africa and implications for the origins of modern human behavior;2007;
Bouzouggar, A., Barton, R.N.E., Blockley, S., Bronk-Ramsey, C., Collcutt, S.N., Gale, R., Higham, T.F.G., Humphrey, L.T., Parfitt, S., Turner, E., Ward, S.;Reevaluating the Age of the Iberomaurusian in Morocco;2008;
Bouzouggar, A., Kozlowski, J.K., Otte, M.;Etude des ensembles lithiques ateriens de la grotte d'El Aliya a Tanger (Maroc) Study of the Aterian lithic assemblages from El Aliya cave in Tangier (Morocco);2002;
Bowen, B.E., Vondra, C.F.;Stratigraphical Relationships of the Plio-Pleistocene Deposits, East Rudolf, Kenya;1973;
Bower, J.;Overview of the Loiyangalani Site, Project Description;2010;
Boëda, É., Soriano, S., Noël-Soriano, S.;Fonction et fonctionnement d'un site a la fin du Pléistocène moyen. Le niveau acheuléen C 3 base de Barbas I (Creysse, Dordogne);2000;
Braga, J., Thackeray, J.F.;Early Homo at Kromdraai B: probabilistic and morphological analysis of the lower dentition;2003;
Braillard, L., Guélat, M., Rentzel, P.;Effects of bears on rockshelter sediments at Tanay Sur-les-Creux, southwestern Switzerland;2004;
Brain, C.K.;Faunal Remains from the Bushman Rock Shelter, Eastern Transvaal;1969;
Brain, C.K.;New Finds at the Swartkrans Australopithecine Site;1970;
Brain, C.K.;Structure and stratigraphy of the Swartkrans cave in the light of the new excavations;1993;
Brain, C.K.;Swartkrans: A Cave's Chronicle of Early Man;1993;
Brain, C.K.;The Hunters or the Hunted? An Introduction to African Cave Taphonomy;1981;
Brain, C.K., Cooke, C.K.;A Preliminary Account of the Redcliff Stone Age Cave Site in Rhodesia;1967;
Brandt, S.A.;The Upper Pleistocene and early Holocene prehistory of the Horn of Africa;1986;
Brandt, S.A., Brook, G.A.;Archaeological and Paleoenvironmental Research in Northern Somalia;1984;
Brandt, S.A., Fisher, E.C., Hildebrand, E.A., Vogelsang, R., Ambrose, S.H., Lesur, J., Wang, H.;Early MIS 3 occupation of Mochena Borago Rockshelter, Southwest Ethiopian Highlands: Implications for Late Pleistocene archaeology, paleoenvironments and modern human dispersals;2012;
Brasser, M.;Die Megafauna von Bilzingsleben;2017;
Bratlund, B.;Taubach revisited;2000;
Brauer, A., Allen, J.R., Mingram, J., Dulski, P., Wulf, S., Huntley, B.;Evidence for last interglacial chronology and environmental change from Southern Europe;2007;
Brauer, A., Schwab, M.;The last interglacial in Monticchio;0;
Braun, D.R., Aldeias, V., Archer, W., Arrowsmith, J.R., Baraki, N., Campisano, C.J., Deino, A.L., DiMaggio, E.N., Dupont-Nivet, G., Engda, B., Feary, D.A., Garello, D.I., Kerfelew, Z., McPherron, S.P., Patterson, D.B., Reeves, J.S., Thompson, J.C., Reed, K.E.;Earliest known Oldowan artifacts at >2.58 Ma from Ledi-Geraru, Ethiopia, highlight early technological diversity;2019;
